iter	Passed	Remaining
0	150	150740
1	151	75682
2	152	50631
3	152	38083
4	153	30546
5	154	25525
6	154	21932
7	155	19241
8	155	17151
9	156	15537
10	157	14164
11	158	13026
12	158	12065
13	159	11236
14	160	10515
15	160	9884
16	161	9334
17	162	8840
18	162	8399
19	163	8001
20	163	7644
21	164	7322
22	165	7021
23	165	6746
24	166	6494
25	167	6259
26	167	6044
27	168	5845
28	168	5658
29	169	5483
30	170	5321
31	170	5170
32	171	5029
33	172	4900
34	173	4774
35	173	4653
36	174	4539
37	175	4430
38	175	4332
39	176	4241
40	177	4150
41	178	4061
42	178	3975
43	179	3893
44	179	3814
45	180	3740
46	180	3668
47	181	3600
48	182	3535
49	182	3472
50	183	3411
51	183	3351
52	184	3298
53	185	3244
54	185	3195
55	186	3146
56	187	3099
57	188	3054
58	188	3009
59	189	2965
60	190	2927
61	190	2886
62	191	2848
63	192	2812
64	193	2777
65	193	2741
66	194	2707
67	195	2674
68	195	2641
69	196	2609
70	197	2578
71	197	2548
72	198	2519
73	199	2490
74	199	2463
75	200	2438
76	201	2411
77	201	2385
78	202	2359
79	203	2335
80	203	2311
81	204	2288
82	204	2263
83	205	2242
84	206	2221
85	207	2201
86	207	2179
87	208	2158
88	209	2139
89	209	2120
90	210	2101
91	210	2082
92	211	2063
93	212	2045
94	212	2027
95	213	2010
96	214	1994
97	215	1979
98	215	1963
99	216	1947
100	217	1931
101	217	1916
102	218	1902
103	219	1887
104	220	1878
105	220	1863
106	221	1849
107	222	1835
108	222	1821
109	223	1808
110	224	1795
111	224	1782
112	225	1769
113	226	1757
114	226	1745
115	227	1732
116	227	1720
117	228	1708
118	229	1697
119	229	1686
120	230	1675
121	231	1663
122	231	1653
123	232	1642
124	233	1631
125	233	1621
126	234	1610
127	235	1601
128	235	1591
129	236	1581
130	236	1572
131	237	1562
132	238	1553
133	238	1543
134	239	1534
135	240	1525
136	240	1516
137	241	1507
138	241	1498
139	242	1490
140	243	1481
141	243	1472
142	244	1464
143	245	1458
144	246	1450
145	246	1442
146	247	1435
147	247	1427
148	248	1420
149	249	1413
150	250	1406
151	250	1399
152	251	1392
153	252	1385
154	252	1379
155	253	1372
156	254	1365
157	254	1358
158	255	1351
159	256	1344
160	256	1337
161	257	1330
162	257	1323
163	258	1317
164	259	1310
165	259	1304
166	260	1298
167	261	1292
168	261	1286
169	262	1280
170	263	1275
171	263	1269
172	264	1265
173	265	1258
174	265	1253
175	266	1247
176	267	1242
177	267	1236
178	268	1230
179	268	1225
180	269	1219
181	270	1214
182	270	1208
183	271	1203
184	271	1197
185	272	1192
186	273	1187
187	273	1182
188	274	1177
189	275	1172
190	275	1167
191	276	1163
192	277	1158
193	277	1153
194	278	1149
195	278	1144
196	279	1139
197	280	1135
198	280	1130
199	281	1126
200	282	1121
201	282	1117
202	283	1112
203	284	1108
204	284	1103
205	285	1099
206	285	1095
207	286	1090
208	287	1086
209	287	1082
210	288	1077
211	288	1073
212	289	1069
213	290	1065
214	290	1061
215	291	1057
216	292	1053
217	292	1049
218	293	1045
219	293	1041
220	294	1037
221	295	1034
222	295	1030
223	296	1026
224	296	1022
225	297	1018
226	298	1015
227	298	1011
228	299	1007
229	299	1003
230	300	999
231	300	996
232	301	992
233	302	989
234	302	986
235	303	982
236	304	979
237	304	975
238	305	972
239	305	968
240	306	965
241	307	962
242	307	958
243	308	955
244	309	952
245	309	949
